year,month,day,date_decimal,snvalue,snerror,nb_observations,
2020,11,11,2020.862,29,6.6,33,
2020,11,12,2020.865,32,6,42,
2020,11,13,2020.867,26,4.3,39,
2020,11,14,2020.87,20,6.3,40,
2020,11,15,2020.873,5,8,33,
2020,11,16,2020.876,0,0,34,
2020,11,17,2020.878,10,4.9,40,
2020,11,18,2020.881,13,3.1,58,
2020,11,19,2020.884,13,4.3,41,
2020,11,20,2020.887,13,2.8,52,
2020,11,21,2020.889,26,6,47,
2020,11,22,2020.892,34,7.6,38,
2020,11,23,2020.895,48,9.6,42,
2020,11,24,2020.898,44,5.4,44,
2020,11,25,2020.9,53,9.2,38,
2020,11,26,2020.903,58,11,38,
2020,11,27,2020.906,75,15.3,39,
2020,11,28,2020.908,86,16.7,43,
2020,11,29,2020.911,96,14,34,
2020,11,30,2020.914,87,12.4,33,
2020,12,1,2020.917,56,14,34,
2020,12,2,2020.919,48,9.4,29,
2020,12,3,2020.922,45,4.5,27,
2020,12,4,2020.925,41,6.4,34,
2020,12,5,2020.928,37,9,44,
2020,12,6,2020.93,25,8.6,32,
2020,12,7,2020.933,21,5.8,32,
2020,12,8,2020.936,14,4.1,37,
2020,12,9,2020.939,14,3.9,29,
2020,12,10,2020.941,12,2,33,
2020,12,11,2020.944,12,1.5,22,
2020,12,12,2020.947,11,6.6,26,
2020,12,13,2020.949,11,4.2,34,
2020,12,14,2020.952,13,6.6,32,
2020,12,15,2020.955,20,8.2,31,
2020,12,16,2020.958,14,4.3,31,
2020,12,17,2020.96,13,1.1,37,
2020,12,18,2020.963,7,6.8,34,
2020,12,19,2020.966,0,0,26,
2020,12,20,2020.969,0,0,32,
2020,12,21,2020.971,12,1.1,18,
2020,12,22,2020.974,12,1.5,33,
2020,12,23,2020.977,24,6.5,21,
2020,12,24,2020.98,28,3.7,32,
2020,12,25,2020.982,31,5.9,45,
2020,12,26,2020.985,35,5.7,37,
2020,12,27,2020.988,33,5.3,35,
2020,12,28,2020.99,30,5.8,30,
2020,12,29,2020.993,32,4.9,40,
2020,12,30,2020.996,32,4.6,40,
2020,12,31,2020.999,34,6.3,31,
2021,1,1,2021.001,24,6.8,34,
2021,1,2,2021.004,17,8.3,29,
2021,1,3,2021.007,0,0,25,
2021,1,4,2021.01,0,2.6,24,
2021,1,5,2021.012,0,2.5,25,
2021,1,6,2021.015,0,0,27,
2021,1,7,2021.018,0,0,30,
2021,1,8,2021.021,0,0,34,
2021,1,9,2021.023,0,0,38,
2021,1,10,2021.026,0,0,34,
2021,1,11,2021.029,0,1.9,31,
2021,1,12,2021.032,0,0,35,
2021,1,13,2021.034,0,0,42,
2021,1,14,2021.037,3,5,38,
2021,1,15,2021.04,14,9.2,31,
2021,1,16,2021.042,12,5.1,35,
2021,1,17,2021.045,14,7.6,34,
2021,1,18,2021.048,12,4.1,39,
2021,1,19,2021.051,20,7.3,33,
2021,1,20,2021.053,21,11.2,36,
2021,1,21,2021.056,25,13.8,42,
2021,1,22,2021.059,35,8.8,48,
2021,1,23,2021.062,32,4,27,
2021,1,24,2021.064,23,4.3,36,
2021,1,25,2021.067,27,3.6,47,
2021,1,26,2021.07,17,5.1,34,
2021,1,27,2021.073,20,8.2,24,
2021,1,28,2021.075,7,9,32,
2021,1,29,2021.078,0,0,32,
2021,1,30,2021.081,0,0,25,
2021,1,31,2021.084,0,0,35,
2021,2,1,2021.086,0,3,34,
2021,2,2,2021.089,9,6.7,34,
2021,2,3,2021.092,7,6.8,31,
2021,2,4,2021.095,0,1.6,39,
2021,2,5,2021.097,0,0,38,
2021,2,6,2021.1,0,2.4,27,
2021,2,7,2021.103,0,0,22,
2021,2,8,2021.105,2,4.8,29,
2021,2,9,2021.108,2,4.6,36,
2021,2,10,2021.111,0,1.5,42,
2021,2,11,2021.114,0,0,47,
2021,2,12,2021.116,0,1.5,47,
2021,2,13,2021.119,0,4.8,45,
2021,2,14,2021.122,0,0,45,
2021,2,15,2021.125,0,0,26,
2021,2,16,2021.127,0,0,38,
2021,2,17,2021.13,0,2.4,36,
2021,2,18,2021.133,10,5.7,38,
2021,2,19,2021.136,9,6.7,42,
2021,2,20,2021.138,9,5.9,43,
2021,2,21,2021.141,10,5.2,42,
2021,2,22,2021.144,16,8.5,37,
2021,2,23,2021.147,36,3.4,47,
2021,2,24,2021.149,38,6.7,52,
2021,2,25,2021.152,34,5.5,52,
2021,2,26,2021.155,18,2.7,55,
2021,2,27,2021.158,17,1.5,51,
2021,2,28,2021.16,13,3.7,47,
2021,3,1,2021.163,10,3.9,48,
2021,3,2,2021.166,16,8.4,38,
2021,3,3,2021.168,35,6.5,45,
2021,3,4,2021.171,30,8.4,37,
2021,3,5,2021.174,13,8.2,38,
2021,3,6,2021.177,7,7.3,49,
2021,3,7,2021.179,21,8.3,33,
2021,3,8,2021.182,14,5.3,45,
2021,3,9,2021.185,15,9.6,39,
2021,3,10,2021.188,17,5.6,38,
2021,3,11,2021.19,22,4,35,
2021,3,12,2021.193,14,3.7,42,
2021,3,13,2021.196,11,3.2,45,
2021,3,14,2021.199,23,8.8,41,
2021,3,15,2021.201,24,15.3,44,
2021,3,16,2021.204,19,7.4,38,
2021,3,17,2021.207,13,3.2,40,
2021,3,18,2021.21,13,1.8,38,
2021,3,19,2021.212,13,3.9,54,
2021,3,20,2021.215,11,3.7,51,
2021,3,21,2021.218,8,6.3,32,
2021,3,22,2021.221,22,7.4,46,
2021,3,23,2021.223,27,3.9,39,
2021,3,24,2021.226,30,3.6,48,
2021,3,25,2021.229,27,3.6,46,
2021,3,26,2021.232,25,2.7,51,
2021,3,27,2021.234,19,6,25,
2021,3,28,2021.237,12,1.3,43,
2021,3,29,2021.24,12,2.9,55,
